"","vID","Observation.id","Sample","Observation_id","Sex","Nest_ID","Brood_ID","Month","Julian_date","Year","TA","Habitat","First_egg_Julian","Hatch_Julian","Fledge_Julian","Exact_age_chick","Peeped_chick_count","Max_number_eggs","Max_number_chicks","Proportion_hatched","Chicks_fledged","Proportion_fledged","Nest_fate","Nest_fate_certainty","Oldest_nestling","Number_chick_mortalities","Percent_chick_mortalities","Chicks_visible.","With_bpk.","Start_time","Early_or_late","Nearest_neighbor","Distance_nearest_neighbor_m","Length_usable","Video_number","Subject","feeding","cleaning","Length_total","brooding_sec","Std_jdate","brooding_min"
"37","137.OSOP","2018-07-03_5ACross_A_905","2018-07-03_5ACross_A_905.OSOP","2018-07-03_5ACross.A_905","female","5A Cross","Cross","July",184,2018,"05A","Savanna",151,165,196,19,2,4,3,0.75,2,0.6666666667,"Fledge","Uncertain",32,1,0.3333333333,0,0,905,"early","5A Match",228.3,64,137,"OSOP",12,0,208,0,-0.142276798790925,0
"38","137.WOWS","2018-07-03_5ACross_A_905","2018-07-03_5ACross_A_905.WOWS","2018-07-03_5ACross.A_905","male","5A Cross","Cross","July",184,2018,"05A","Savanna",151,165,196,19,2,4,3,0.75,2,0.6666666667,"Fledge","Uncertain",32,1,0.3333333333,0,0,905,"early","5A Match",228.3,64,137,"WOWS",22,9,208,441.739,-0.142276798790925,7.36231666666667
"39","138.SUBU","2018-07-06_18CGum_A_1300","2018-07-06_18CGum_A_1300.SUBU","2018-07-06_18CGum.A_1300","male","18C Gum","Gum","July",187,2018,"18C","Savanna",NA,187,208,0,2,3,2,0.6666666667,0,0,"Failed","Certain",19,2,1,0,0,1300,"late","N17 18CA2",83.5,50,138,"SUBU",1,0,50,0,0.0735363229705891,0
"40","138.SYRP","2018-07-06_18CGum_A_1300","2018-07-06_18CGum_A_1300.SYRP","2018-07-06_18CGum.A_1300","female","18C Gum","Gum","July",187,2018,"18C","Savanna",NA,187,208,0,2,3,2,0.6666666667,0,0,"Failed","Certain",19,2,1,0,0,1300,"late","N17 18CA2",83.5,50,138,"SYRP",2,0,50,2310.24,0.0735363229705891,38.504
"41","139.SUBU","2018-07-06_18CGum_A_2c_1210","2018-07-06_18CGum_A_2c_1210.SUBU","2018-07-06_18CGum.A_2c_1210","male","18C Gum","Gum","July",187,2018,"18C","Savanna",NA,187,208,0,2,3,2,0.6666666667,0,0,"Failed","Certain",19,2,1,0,0,1210,"late","N17 18CA2",83.5,41,139,"SUBU",1,0,51,1259.77,0.0735363229705891,20.9961666666667
"42","139.SYRP","2018-07-06_18CGum_A_2c_1210","2018-07-06_18CGum_A_2c_1210.SYRP","2018-07-06_18CGum.A_2c_1210","female","18C Gum","Gum","July",187,2018,"18C","Savanna",NA,187,208,0,2,3,2,0.6666666667,0,0,"Failed","Certain",19,2,1,0,0,1210,"late","N17 18CA2",83.5,41,139,"SYRP",1,0,51,726.18,0.0735363229705891,12.103
"43","141.PYGS","2018-07-17_18CNoisy_A_1bpk_715","2018-07-17_18CNoisy_A_1bpk_715.PYGS","2018-07-17_18CNoisy.A_1bpk_715","male","18C Noisy","Noisy","July",198,2018,"18C","CC",NA,187,NA,11,3,5,5,1,NA,NA,NA,NA,NA,3,0.6,0,1,715,"early","PNB 18CB",194.3,64,141,"PYGS",44,10,240,0,0.864851102762806,0
"44","141.SUOR","2018-07-17_18CNoisy_A_1bpk_715","2018-07-17_18CNoisy_A_1bpk_715.SUOR","2018-07-17_18CNoisy.A_1bpk_715","female","18C Noisy","Noisy","July",198,2018,"18C","CC",NA,187,NA,11,3,5,5,1,NA,NA,NA,NA,NA,3,0.6,0,1,715,"early","PNB 18CB",194.3,64,141,"SUOR",25,0,240,0,0.864851102762806,0
"45","144.SORO","2018-07-19_RB36alt_A_1c_1031","2018-07-19_RB36alt_A_1c_1031.SORO","2018-07-19_RB36alt.A_1c_1031","female","RB36 Alt","RB36alt_brd2_18","July",200,2018,"05B","Savanna",NA,183,NA,17,1,3,1,0.3333333333,NA,NA,NA,NA,NA,NA,NA,0,0,1031,"early","A1",102.2,64,144,"SORO",3,0,234,0,1.00872651727048,0
"46","144.SORO_mate_18","2018-07-19_RB36alt_A_1c_1031","2018-07-19_RB36alt_A_1c_1031.SORO_mate_18","2018-07-19_RB36alt.A_1c_1031","male","RB36 Alt","RB36alt_brd2_18","July",200,2018,"05B","Savanna",NA,183,NA,17,1,3,1,0.3333333333,NA,NA,NA,NA,NA,NA,NA,0,0,1031,"early","A1",102.2,64,144,"SORO_mate_18",9,4,234,324.861,1.00872651727048,5.41435
