"","video_id","brooding_count","cleaning_nest","feeding_chicks","visit_count","brooding_sec","poopsearch_sec","visit_sec","video_number","subject","sex","julian_date","habitat","exact_age_chick","peeped_chick_count","nest_id","brood_id","length_usable"
"23","74_SGBY",NA,NA,22,NA,NA,NA,NA,74,"SGBY","female",NA,"CC",24,2,"PNB 18CB","Tonto_brd1",205
"24","74_ROSO",NA,NA,21,NA,NA,NA,NA,74,"ROSO","male",NA,"CC",24,2,"PNB 18CB","Tonto_brd1",205
"25","73_SRUB",NA,NA,3,NA,NA,NA,NA,73,"SRUB","female",NA,"Savanna",25,1,"N17 18CA2","N1718CA2_brd1",218
"26","73_BUSY",NA,NA,18,NA,NA,NA,NA,73,"BUSY","male",NA,"Savanna",25,1,"N17 18CA2","N1718CA2_brd1",218
"27","72_SGBY",NA,NA,39,NA,NA,NA,NA,72,"SGBY","female",NA,"CC",23,2,"PNB 18CB","Tonto_brd1",195
"28","72_ROSO",NA,6,27,NA,NA,263.588,NA,72,"ROSO","male",NA,"CC",23,2,"PNB 18CB","Tonto_brd1",195
"29","70_SRUB",NA,NA,9,NA,NA,NA,NA,70,"SRUB","female",NA,"Savanna",24,1,"N17 18CA2","N1718CA2_brd1",228
"30","70_BUSY",NA,6,30,NA,NA,74.036,NA,70,"BUSY","male",NA,"Savanna",24,1,"N17 18CA2","N1718CA2_brd1",228
"31","68_OSGR_mate",NA,NA,10,NA,NA,NA,NA,68,"OSGR","male",NA,"Savanna",21,3,"NB 5B5","NB5B5_brd1",128
"32","68_OSGR",NA,5,23,NA,NA,55.329,NA,68,"OSGR","male",NA,"Savanna",21,3,"NB 5B5","NB5B5_brd1",128
"33","67_OSGR_mate",NA,NA,19,NA,NA,NA,NA,67,"OSGR","male",NA,"Savanna",20,3,"NB 5B5","NB5B5_brd1",144
"34","67_OSGR",NA,8,44,NA,NA,96.703,NA,67,"OSGR","male",NA,"Savanna",20,3,"NB 5B5","NB5B5_brd1",144
